Company Tickers,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,FB,FB,FB,FB,FB,FB,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
Stock Info,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-18,45.0,38.0,42.04999923706055,38.22999954223633,573576400,38.22999954223633,77.62999725341797,74.5971450805664,76.27999877929688,75.76856994628906,183073100.0,65.92630767822266,219.6300048828125,212.80999755859375,219.41000366210938,213.85000610351562,5231700,213.85000610351562,10.392857551574707,9.337142944335938,10.328571319580078,9.994285583496094,29415400.0,9.994285583496094,316.5265197753906,298.6486511230469,312.86285400390625,300.50048828125,11935000.0,300.50048828125
2012-05-21,36.65999984741211,33.0,36.529998779296875,34.029998779296875,168192700,34.029998779296875,80.22000122070312,76.29285430908203,76.35713958740234,80.18285369873047,157776500.0,69.76718139648438,219.97999572753906,212.82000732421875,214.02999877929688,218.11000061035156,3579800,218.11000061035156,10.312856674194336,9.649999618530273,9.978571891784668,10.248571395874023,25143300.0,10.248571395874023,308.1531677246094,300.30029296875,300.5555419921875,307.36236572265625,6144600.0,307.36236572265625
2012-05-22,33.59000015258789,30.940000534057617,32.61000061035156,31.0,101786600,31.0,81.98285675048828,78.94000244140625,81.36428833007812,79.56714630126953,173717600.0,69.23143768310547,218.8699951171875,213.9600067138672,218.30999755859375,215.3300018310547,3733100,215.3300018310547,10.342857360839844,9.607142448425293,10.257143020629883,9.672857284545898,40014800.0,9.672857284545898,307.21221923828125,298.2983093261719,307.02703857421875,300.7007141113281,6097600.0,300.7007141113281
2012-05-23,32.5,31.360000610351562,31.3700008392334,32.0,73600000,32.0,81.82857513427734,79.0328598022461,79.64286041259766,81.5085678100586,146224400.0,70.9206771850586,217.5500030517578,211.17999267578125,214.7100067138672,217.27999877929688,4243800,217.27999877929688,10.307143211364746,9.595714569091797,9.638571739196777,10.272856712341309,44100000.0,10.272856712341309,305.1051025390625,298.8588562011719,301.1261291503906,305.0350341796875,6349800.0,305.0350341796875
2012-05-24,33.209999084472656,31.770000457763672,32.95000076293945,33.029998779296875,50237200,33.029998779296875,82.35713958740234,80.17571258544922,82.26714324951172,80.76000213623047,124057500.0,70.26934814453125,217.66000366210938,212.6999969482422,216.97999572753906,215.24000549316406,3141100,215.24000549316406,10.24142837524414,9.928571701049805,10.217143058776855,10.03857135772705,20742400.0,10.03857135772705,306.2662658691406,299.7347412109375,304.8848876953125,302.13214111328125,3778800.0,302.13214111328125
2012-05-25,32.95000076293945,31.110000610351562,32.900001525878906,31.90999984741211,37149800,31.90999984741211,80.8357162475586,79.78142547607422,80.65571594238281,80.32714080810547,82126800.0,69.89273071289062,215.97999572753906,212.22000122070312,214.99000549316406,212.88999938964844,2171400,212.88999938964844,10.501428604125977,9.984285354614258,10.085714340209961,10.031428337097168,33371100.0,10.031428337097168,301.1661682128906,294.4344482421875,300.8008117675781,296.0610656738281,7156600.0,296.0610656738281
2012-05-29,31.690000534057617,28.649999618530273,31.479999542236328,28.84000015258789,78063400,28.84000015258789,82.0,80.7585678100586,81.55714416503906,81.75285339355469,95127200.0,71.13323974609375,216.5500030517578,212.2899932861328,214.3000030517578,214.75,2693900,214.75,10.164285659790039,9.742856979370117,10.15142822265625,9.920000076293945,31997000.0,9.920000076293945,299.8648681640625,294.4544677734375,298.2032165527344,297.46746826171875,5206100.0,297.46746826171875
2012-05-30,29.549999237060547,27.860000610351562,28.700000762939453,28.190000534057617,57267900,28.190000534057617,82.855712890625,80.93714141845703,81.31428527832031,82.73857116699219,132357400.0,71.99090576171875,212.97999572753906,207.75,212.13999938964844,209.22999572753906,4078200,209.22999572753906,9.857142448425293,9.571428298950195,9.782856941223145,9.619999885559082,32890900.0,9.619999885559082,296.2462463378906,292.05706787109375,294.3743591308594,294.409423828125,3809500.0,294.409423828125
